context_id,pair_id,verb,s1,s2,list_id
14,417,played with,A: The birthday boy saw which friend the clown had played with.,B: The birthday boy saw which clown the friend had played with.,3
34,1058,victimized,A: The sheriff recalled which gangsters the locals had victimized.,B: The sheriff recalled which locals the gangsters had victimized.,3
56,1871,sculpted,A: The art critic identified which model the artist had sculpted.,B: The art critic identified which artist the model had sculpted.,3
48,1571,liked,A: The committee member guessed which advisors the president had liked.,B: The committee member guessed which president the advisors had liked.,3
50,1646,cried for,A: The military man knew which soldiers the general had cried for.,B: The military man knew which general the soldiers had cried for.,3
56,1867,hated,A: The art critic identified which artist the model had hated.,B: The art critic identified which model the artist had hated.,3
49,1586,purchased,A: The farmer indicated which donkey the townsperson had purchased.,B: The farmer indicated which townsperson the donkey had purchased.,3
12,338,bitten,A: The researcher learned which biologist the whale had bitten.,B: The researcher learned which whale the biologist had bitten.,3
16,479,wanted,A: The documentarian showed which piglets the agriculturalist had wanted.,B: The documentarian showed which agriculturalist the piglets had wanted.,3
31,962,killed,A: The investigator discovered which couple the abductor had killed.,B: The investigator discovered which abductor the couple had killed.,3
11,290,eloped,A: The nanny knew which billionaire the housekeeper had eloped.,B: The nanny knew which housekeeper the billionaire had eloped.,3
28,875,surprised,A: The bird watcher saw which hawk the photographer had surprised.,B: The bird watcher saw which photographer the hawk had surprised.,3
43,1384,shown,A: The producer observed which viewers the acrobats had shown.,B: The producer observed which acrobats the viewers had shown.,3
49,1603,killed,A: The farmer indicated which donkey the townsperson had killed.,B: The farmer indicated which townsperson the donkey had killed.,3
54,1808,applauded,A: Jack observed which passenger the conductor had applauded.,B: Jack observed which conductor the passenger had applauded.,3
31,942,abducted,A: The investigator discovered which couple the abductor had abducted.,B: The investigator discovered which abductor the couple had abducted.,3
42,1347,punched,A: The prison warden guessed which jailer the inmate had punched.,B: The prison warden guessed which inmate the jailer had punched.,3
43,1401,heard,A: The producer observed which viewers the acrobats had heard.,B: The producer observed which acrobats the viewers had heard.,3
13,350,accepted,A: Tracy announced which applicant the administrator had accepted.,B: Tracy announced which administrator the applicant had accepted.,3
53,1763,possessed,A: The priest knew which demon the exorcist had possessed.,B: The priest knew which exorcist the demon had possessed.,3
58,1948,come from,A: The farmhand recorded which goats the breeder had come from.,B: The farmhand recorded which breeder the goats had come from.,3
19,573,played,A: The trapeze artist indicated which trainer the lion had played.,B: The trapeze artist indicated which lion the trainer had played.,3
29,894,imitated,A: The costume designer confirmed which barber the actor had imitated.,B: The costume designer confirmed which actor the barber had imitated.,3
54,1821,known,A: Jack observed which conductor the passenger had known.,B: Jack observed which passenger the conductor had known.,3
21,669,liked,A: The aid worker realized which philanthropist the refugees had liked.,B: The aid worker realized which refugees the philanthropist had liked.,3
27,841,written,A: The travel agent recorded which guests the innkeeper had written.,B: The travel agent recorded which innkeeper the guests had written.,3
27,814,hosted,A: The travel agent recorded which innkeeper the guests had hosted.,B: The travel agent recorded which guests the innkeeper had hosted.,3
37,1167,enjoyed,A: The broadcaster explained which judge the contestant had enjoyed.,B: The broadcaster explained which contestant the judge had enjoyed.,3
59,1992,escaped,A: The four-year-old knew which hero the dragon had escaped.,B: The four-year-old knew which dragon the hero had escaped.,3
22,689,mauled,A: The camper reported which bear the girl had mauled.,B: The camper reported which girl the bear had mauled.,3
37,1172,hit,A: The broadcaster explained which contestant the judge had hit.,B: The broadcaster explained which judge the contestant had hit.,3
46,1508,captured,A: The ape researcher identified which poacher the chimpanzee had captured.,B: The ape researcher identified which chimpanzee the poacher had captured.,3
10,257,stopped,A: The housekeeper showed which mouse the cat had stopped.,B: The housekeeper showed which cat the mouse had stopped.,3
41,1335,killed,A: The opera composer revealed which pirate the singer had killed.,B: The opera composer revealed which singer the pirate had killed.,3
26,795,evaded,A: The ringmaster recognized which tamer the cheetah had evaded.,B: The ringmaster recognized which cheetah the tamer had evaded.,3
12,315,researched,A: The researcher learned which biologist the whale had researched.,B: The researcher learned which whale the biologist had researched.,3
39,1244,announced,A: The family counselor understood which stepparent the daughter had announced.,B: The family counselor understood which daughter the stepparent had announced.,3
54,1768,pointed,A: Jack observed which passenger the conductor had pointed.,B: Jack observed which conductor the passenger had pointed.,3
51,1666,talked to,A: The parole officer confirmed which delinquent the psychologist had talked to.,B: The parole officer confirmed which psychologist the delinquent had talked to.,3
14,411,brought,A: The birthday boy saw which clown the friend had brought.,B: The birthday boy saw which friend the clown had brought.,3
40,1286,gotten,A: The newscaster confirmed which fugitive the policeman had gotten.,B: The newscaster confirmed which policeman the fugitive had gotten.,3
52,1727,assaulted,A: The policeman knew which detective the suspect had assaulted.,B: The policeman knew which suspect the detective had assaulted.,3
12,317,disliked,A: The researcher learned which whale the biologist had disliked.,B: The researcher learned which biologist the whale had disliked.,3
20,607,selected,A: The wildlife curator mentioned which ape the zookeeper had selected.,B: The wildlife curator mentioned which zookeeper the ape had selected.,3
14,405,touched,A: The birthday boy saw which friend the clown had touched.,B: The birthday boy saw which clown the friend had touched.,3
6,157,cried,A: The judo master recognized which defender the assailant had cried.,B: The judo master recognized which assailant the defender had cried.,3
10,263,evaded,A: The housekeeper showed which cat the mouse had evaded.,B: The housekeeper showed which mouse the cat had evaded.,3
53,1739,left,A: The priest knew which demon the exorcist had left.,B: The priest knew which exorcist the demon had left.,3
15,448,bashed,A: The columnist publicized which celebrity the photographer had bashed.,B: The columnist publicized which photographer the celebrity had bashed.,3
21,653,escaped,A: The aid worker realized which refugees the philanthropist had escaped.,B: The aid worker realized which philanthropist the refugees had escaped.,3
52,1695,investigated,A: The policeman knew which suspect the detective had investigated.,B: The policeman knew which detective the suspect had investigated.,3
52,1713,cheated,A: The policeman knew which detective the suspect had cheated.,B: The policeman knew which suspect the detective had cheated.,3
21,660,encountered,A: The aid worker realized which refugees the philanthropist had encountered.,B: The aid worker realized which philanthropist the refugees had encountered.,3
53,1750,exorcised,A: The priest knew which demon the exorcist had exorcised.,B: The priest knew which exorcist the demon had exorcised.,3
18,523,taken,A: The royal cook asked which chef the lord had taken.,B: The royal cook asked which lord the chef had taken.,3
17,511,hit,A: The police officer noted which jeweler the burglar had hit.,B: The police officer noted which burglar the jeweler had hit.,3
49,1587,smacked,A: The farmer indicated which donkey the townsperson had smacked.,B: The farmer indicated which townsperson the donkey had smacked.,3
26,781,trained,A: The ringmaster recognized which cheetah the tamer had trained.,B: The ringmaster recognized which tamer the cheetah had trained.,3
11,289,slept with,A: The nanny knew which housekeeper the billionaire had slept with.,B: The nanny knew which billionaire the housekeeper had slept with.,3
15,428,seen,A: The columnist publicized which celebrity the photographer had seen.,B: The columnist publicized which photographer the celebrity had seen.,3
58,1957,assimilated,A: The farmhand recorded which breeder the goats had assimilated.,B: The farmhand recorded which goats the breeder had assimilated.,3
45,1477,preferred,A: The reporter inquired which groomer the animals had preferred.,B: The reporter inquired which animals the groomer had preferred.,3
46,1494,murdered,A: The ape researcher identified which chimpanzee the poacher had murdered.,B: The ape researcher identified which poacher the chimpanzee had murdered.,3
51,1657,tutored,A: The parole officer confirmed which delinquent the psychologist had tutored.,B: The parole officer confirmed which psychologist the delinquent had tutored.,3
6,136,damaged,A: The judo master recognized which assailant the defender had damaged.,B: The judo master recognized which defender the assailant had damaged.,3
